Caption,Category
Looking to adopt a 2-month-old vaccinated kitten #8197,Adoption
Report: Suspected poisoning of stray animals in Dharan. Authorities notified.,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #7185,Adoption
Abandoned kitten found in Bhaktapur. Looking for a foster home.,Help
"Stray pup got first vaccinashun, next due nxt month",Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #4507,Vaccination
Free rabies vaccination drive for stray animals at Lalitpur on Monday.,Vaccination
Cat already vaccinated but needs checkup again,Vaccination
Urgent help needed for injured stray puppy #6408,Help
Free rabies vaccination for street dogs in Pokhara this weekend #5539,Vaccination
Illegal puppy adoption scam running in Pokhara 😡,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #231,Vaccination
Cat already vaccinated but needs checkup again,Vaccination
Cat available 4 adoption after rescue n treatment,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #4759,Vaccination
Local butcher illegally killed a street dog. Action needed! #7170,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #3845,Adoption
OMG guys this pup needs HELP rn!! vaccinated last week tho 😭,Help
Abandoned kitten found in Dharan. Looking for a foster home.,Help
Urgent help needed for injured stray puppy #3988,Help
"Meet Max, a lovable Labrador looking for a forever home in Lalitpur.",Adoption
"Kitten rescued, vaccinated alrdy, looking 4 a home 🐱🏠",Adoption
Local butcher illegally killed a street dog. Action needed! #42,Illegal Activities
Illegal puppy adoption scam running in Pokhara 😡,Illegal Activities
Puppy crying in pain at Biratnagar. Please help!,Help
Local butcher illegally killed a street dog. Action needed! #9502,Illegal Activities
Looking to adopt a cute Pug? Meet Charlie at Biratnagar.,Adoption
Rescued dog needs surgery nd foster home ASAP!,Help
"Meet Charlie, a lovable German Shepherd looking for a forever home in Lalitpur.",Adoption
Friendly Persian named Bella available for adoption in Dharan.,Adoption
Join us for a community pet vaccination event in Pokhara.,Vaccination
Poachers selling stray dogs in market,Illegal Activities
"Stray cat hurt badly, ppl plz hlp 🙏",Help
Urgent help needed for injured stray puppy #436,Help
Free rabies vaccination for street dogs in Pokhara this weekend #7603,Vaccination
OMG guys this pup needs HELP rn!! vaccinated last week tho 😭,Help
Abandoned kitten found in Itahari. Looking for a foster home.,Help
Looking to adopt a cute Labrador? Meet Luna at Lalitpur.,Adoption
Puppy adoption scam?? or legit?? idk 🤔,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #2167,Vaccination
"Stray pup got first vaccinashun, next due nxt month",Vaccination
Local butcher illegally killed a street dog. Action needed! #3722,Illegal Activities
Report: Suspected poisoning of stray animals in Dharan. Authorities notified.,Illegal Activities
Cat already vaccinated but needs checkup again,Vaccination
Wounded animal lying on the road at Lalitpur. Volunteers needed urgently!,Help
Free rabiez vaccine camp 2day near Itahari 🐾,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #8215,Vaccination
Local butcher illegally killed a street dog. Action needed! #4546,Illegal Activities
Illegal dog fighting ring uncovered in Pokhara. Investigation ongoing.,Illegal Activities
Animal abuse recorded on street cam 🚨,Illegal Activities
Dog fighting spotted 😢 report ASAP!!,Illegal Activities
Vaccinashun drive 4 stray animals ongoing rn,Vaccination
Urgent help needed for injured stray puppy #5544,Help
Free rabies vaccination for street dogs in Pokhara this weekend #6847,Vaccination
Local butcher illegally killed a street dog. Action needed! #6094,Illegal Activities
Friendly Labrador named Max available for adoption in Butwal.,Adoption
Friendly German Shepherd named Max available for adoption in Dharan.,Adoption
"Stray pup got first vaccinashun, next due nxt month",Vaccination
Abandoned kitten found in Pokhara. Looking for a foster home.,Help
Vaccination campaign for street dogs happening at Kathmandu on this weekend.,Vaccination
"Meet Simba, a lovable Labrador looking for a forever home in Butwal.",Adoption
"Kitten rescued, vaccinated alrdy, looking 4 a home 🐱🏠",Adoption
Looking to adopt a cute German Shepherd? Meet Charlie at Biratnagar.,Adoption
Adopt Max and give them the loving family they deserve.,Adoption
Friendly German Shepherd named Coco available for adoption in Bhaktapur.,Adoption
Illegal dog fighting ring uncovered in Biratnagar. Investigation ongoing.,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #7190,Illegal Activities
Cat available 4 adoption after rescue n treatment,Adoption
Looking to adopt a 2-month-old vaccinated kitten #4377,Adoption
Cruel treatment of animals reported near Biratnagar. Raise your voice!,Illegal Activities
Illegal dog fighting ring uncovered in Biratnagar. Investigation ongoing.,Illegal Activities
Vaccinashun drive 4 stray animals ongoing rn,Vaccination
Sweet doggo ready for adop after vaccinashun 💉🐶,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #5415,Vaccination
Puppy crying in pain at Bhaktapur. Please help!,Help
Abandoned kitten found in Kathmandu. Looking for a foster home.,Help
Urgent help needed for injured stray puppy #8176,Help
Adopt Luna and give them the loving family they deserve.,Adoption
Looking to adopt a 2-month-old vaccinated kitten #609,Adoption
Doggo needz vaccinashun ASAP 💉😭,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #3755,Vaccination
Abandoned kitten found in Pokhara. Looking for a foster home.,Help
Wounded animal lying on the road at Kathmandu. Volunteers needed urgently!,Help
Puppy crying in pain at Itahari. Please help!,Help
Free rabies vaccination for street dogs in Pokhara this weekend #5467,Vaccination
Abandoned kitten found in Biratnagar. Looking for a foster home.,Help
Looking to adopt a 2-month-old vaccinated kitten #2141,Adoption
Friendly Beagle named Max available for adoption in Lalitpur.,Adoption
"Meet Bella, a lovable Beagle looking for a forever home in Pokhara.",Adoption
Protect our strays: vaccination camp at Pokhara this Tuesday.,Vaccination
Protect our strays: vaccination camp at Kathmandu this August 1st.,Vaccination
Friendly Labrador named Coco available for adoption in Biratnagar.,Adoption
Local butcher illegally killed a street dog. Action needed! #5962,Illegal Activities
"Meet Coco, a lovable Beagle looking for a forever home in Itahari.",Adoption
Cat available 4 adoption after rescue n treatment,Adoption
Illegal dog fighting ring uncovered in Biratnagar. Investigation ongoing.,Illegal Activities
Adopt Charlie and give them the loving family they deserve.,Adoption
Looking to adopt a 2-month-old vaccinated kitten #3973,Adoption
Puppy adoption scam?? or legit?? idk 🤔,Adoption
"Wounded doggo seen near park, already vaccinated but needs HELP",Help
Local butcher illegally killed a street dog. Action needed! #5230,Illegal Activities
Urgent help needed for injured stray puppy #7652,Help
Urgent help needed for injured stray puppy #76,Help
Local butcher illegally killed a street dog. Action needed! #4242,Illegal Activities
Report: Suspected poisoning of stray animals in Itahari. Authorities notified.,Illegal Activities
Urgent help needed for injured stray puppy #5180,Help
Local butcher illegally killed a street dog. Action needed! #2322,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #8682,Illegal Activities
Puppy crying in pain at Lalitpur. Please help!,Help
Local butcher illegally killed a street dog. Action needed! #598,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #3967,Vaccination
Abandoned kitten found in Lalitpur. Looking for a foster home.,Help
Protect our strays: vaccination camp at Bhaktapur this Monday.,Vaccination
Abandoned kitten found in Itahari. Looking for a foster home.,Help
"Kitten rescued, vaccinated alrdy, looking 4 a home 🐱🏠",Adoption
Wounded animal lying on the road at Lalitpur. Volunteers needed urgently!,Help
"Stray pup got first vaccinashun, next due nxt month",Vaccination
Local butcher illegally killed a street dog. Action needed! #5926,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #463,Vaccination
Poachers selling stray dogs in market,Illegal Activities
Urgent help needed for injured stray puppy #5952,Help
Looking to adopt a 2-month-old vaccinated kitten #2793,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #1227,Vaccination
"Stray cat hurt badly, ppl plz hlp 🙏",Help
Adopt Luna and give them the loving family they deserve.,Adoption
Puppy crying in pain at Lalitpur. Please help!,Help
Report: Suspected poisoning of stray animals in Pokhara. Authorities notified.,Illegal Activities
"Kitten rescued, vaccinated alrdy, looking 4 a home 🐱🏠",Adoption
Looking to adopt a 2-month-old vaccinated kitten #6817,Adoption
"Adopshun needed 4 lil pup, very friendly!",Adoption
Puppy crying in pain at Bhaktapur. Please help!,Help
Puppy adoption scam?? or legit?? idk 🤔,Adoption
Looking to adopt a cute Beagle? Meet Max at Dharan.,Adoption
Looking to adopt a 2-month-old vaccinated kitten #3357,Adoption
Urgent help needed for injured stray puppy #7388,Help
Cat already vaccinated but needs checkup again,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #6581,Adoption
Local butcher illegally killed a street dog. Action needed! #9842,Illegal Activities
Report: Suspected poisoning of stray animals in Itahari. Authorities notified.,Illegal Activities
Vaccination campaign for street dogs happening at Kathmandu on this weekend.,Vaccination
Free rabies vaccination drive for stray animals at Pokhara on this weekend.,Vaccination
Local butcher illegally killed a street dog. Action needed! #5910,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #3551,Vaccination
Local butcher illegally killed a street dog. Action needed! #1946,Illegal Activities
Protect our strays: vaccination camp at Lalitpur this July 15th.,Vaccination
Friendly Persian named Charlie available for adoption in Pokhara.,Adoption
Local butcher illegally killed a street dog. Action needed! #3170,Illegal Activities
Vaccination campaign for street dogs happening at Bhaktapur on Tuesday.,Vaccination
Poachers selling stray dogs in market,Illegal Activities
Illegal dog fighting ring uncovered in Pokhara. Investigation ongoing.,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #1879,Vaccination
Doggo needz vaccinashun ASAP 💉😭,Vaccination
Local butcher illegally killed a street dog. Action needed! #4206,Illegal Activities
Join us for a community pet vaccination event in Dharan.,Vaccination
Puppy adoption scam?? or legit?? idk 🤔,Adoption
Local butcher illegally killed a street dog. Action needed! #2882,Illegal Activities
Injured stray dog spotted near Kathmandu. Immediate assistance needed!,Help
Join us for a community pet vaccination event in Biratnagar.,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #2387,Vaccination
Free rabiez vaccine camp 2day near Itahari 🐾,Vaccination
Adopt Simba and give them the loving family they deserve.,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #5311,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #1235,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #8505,Adoption
Friendly Pug named Charlie available for adoption in Pokhara.,Adoption
Animal abuse recorded on street cam 🚨,Illegal Activities
Join us for a community pet vaccination event in Bhaktapur.,Vaccination
Urgent help needed for injured stray puppy #3028,Help
Friendly Stray named Simba available for adoption in Itahari.,Adoption
Looking to adopt a 2-month-old vaccinated kitten #1553,Adoption
Vaccination campaign for street dogs happening at Pokhara on August 1st.,Vaccination
Injured stray dog spotted near Pokhara. Immediate assistance needed!,Help
Cruel treatment of animals reported near Butwal. Raise your voice!,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #7891,Vaccination
Adopt Max and give them the loving family they deserve.,Adoption
Puppy adoption scam?? or legit?? idk 🤔,Adoption
Urgent help needed for injured stray puppy #1424,Help
Adopt Bella and give them the loving family they deserve.,Adoption
Report: Suspected poisoning of stray animals in Bhaktapur. Authorities notified.,Illegal Activities
Abandoned kitten found in Bhaktapur. Looking for a foster home.,Help
Free rabies vaccination for street dogs in Pokhara this weekend #9263,Vaccination
Abandoned kitten found in Kathmandu. Looking for a foster home.,Help
Report: Suspected poisoning of stray animals in Pokhara. Authorities notified.,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #9674,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #8923,Vaccination
Local butcher illegally killed a street dog. Action needed! #2694,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #6687,Vaccination
Report: Suspected poisoning of stray animals in Biratnagar. Authorities notified.,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #5741,Adoption
Local butcher illegally killed a street dog. Action needed! #9918,Illegal Activities
Report: Suspected poisoning of stray animals in Bhaktapur. Authorities notified.,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #5170,Illegal Activities
Looking to adopt a cute Labrador? Meet Bella at Butwal.,Adoption
Protect our strays: vaccination camp at Pokhara this Monday.,Vaccination
Abandoned kitten found in Kathmandu. Looking for a foster home.,Help
Local butcher illegally killed a street dog. Action needed! #9302,Illegal Activities
"Kitten rescued, vaccinated alrdy, looking 4 a home 🐱🏠",Adoption
Cruel treatment of animals reported near Kathmandu. Raise your voice!,Illegal Activities
Looking to adopt a cute Stray? Meet Luna at Bhaktapur.,Adoption
Vaccination campaign for street dogs happening at Kathmandu on August 1st.,Vaccination
Friendly Stray named Charlie available for adoption in Bhaktapur.,Adoption
Wounded animal lying on the road at Bhaktapur. Volunteers needed urgently!,Help
Puppy adoption scam?? or legit?? idk 🤔,Adoption
Local butcher illegally killed a street dog. Action needed! #3922,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #1887,Vaccination
Illegal dog fighting ring uncovered in Dharan. Investigation ongoing.,Illegal Activities
Injured stray dog spotted near Biratnagar. Immediate assistance needed!,Help
Wounded animal lying on the road at Lalitpur. Volunteers needed urgently!,Help
Free rabies vaccination drive for stray animals at Lalitpur on this weekend.,Vaccination
Wounded animal lying on the road at Butwal. Volunteers needed urgently!,Help
Looking to adopt a 2-month-old vaccinated kitten #697,Adoption
Kitten trafficking ring busted in city 🐱❌,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #9494,Illegal Activities
Illegal dog fighting ring uncovered in Pokhara. Investigation ongoing.,Illegal Activities
"Meet Charlie, a lovable Pug looking for a forever home in Pokhara.",Adoption
Illegal dog fighting ring uncovered in Bhaktapur. Investigation ongoing.,Illegal Activities
Illegal dog fighting ring uncovered in Biratnagar. Investigation ongoing.,Illegal Activities
Report: Suspected poisoning of stray animals in Pokhara. Authorities notified.,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #6799,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #4819,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #7219,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #439,Vaccination
"Adopshun needed 4 lil pup, very friendly!",Adoption
"Adopshun needed 4 lil pup, very friendly!",Adoption
Abandoned kitten found in Lalitpur. Looking for a foster home.,Help
Puppy crying in pain at Pokhara. Please help!,Help
Free rabies vaccination drive for stray animals at Kathmandu on Tuesday.,Vaccination
"Stray cat hurt badly, ppl plz hlp 🙏",Help
Free rabies vaccination for street dogs in Pokhara this weekend #4883,Vaccination
Urgent help needed for injured stray puppy #1300,Help
Urgent help needed for injured stray puppy #9556,Help
"Meet Charlie, a lovable Pug looking for a forever home in Bhaktapur.",Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #6259,Vaccination
OMG guys this pup needs HELP rn!! vaccinated last week tho 😭,Help
Adopt Coco and give them the loving family they deserve.,Adoption
"Kitten rescued, vaccinated alrdy, looking 4 a home 🐱🏠",Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #671,Vaccination
Friendly Persian named Luna available for adoption in Pokhara.,Adoption
Doggo is injurd n crying pls adop if u can 🐶💔,Help
Looking to adopt a cute Persian? Meet Max at Itahari.,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #9227,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #1581,Adoption
Injured stray dog spotted near Itahari. Immediate assistance needed!,Help
Wounded animal lying on the road at Pokhara. Volunteers needed urgently!,Help
Looking to adopt a 2-month-old vaccinated kitten #4909,Adoption
Free rabiez vaccine camp 2day near Itahari 🐾,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #329,Adoption
Adopt Bella and give them the loving family they deserve.,Adoption
Local butcher illegally killed a street dog. Action needed in Kathmandu!,Illegal Activities
Wounded animal lying on the road at Lalitpur. Volunteers needed urgently!,Help
Illegal puppy adoption scam running in Pokhara 😡,Illegal Activities
"Adopshun needed 4 lil pup, very friendly!",Adoption
Looking to adopt a 2-month-old vaccinated kitten #397,Adoption
Dog fighting spotted 😢 report ASAP!!,Illegal Activities
Urgent help needed for injured stray puppy #5652,Help
Cat available 4 adoption after rescue n treatment,Adoption
Local butcher illegally killed a street dog. Action needed! #7114,Illegal Activities
Urgent help needed for injured stray puppy #664,Help
Sweet doggo ready for adop after vaccinashun 💉🐶,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #9015,Vaccination
"Meet Bella, a lovable Pug looking for a forever home in Kathmandu.",Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #8247,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #9487,Vaccination
Local butcher illegally killed a street dog. Action needed! #5186,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #7799,Vaccination
Friendly German Shepherd named Max available for adoption in Itahari.,Adoption
Local butcher illegally killed a street dog. Action needed in Itahari!,Illegal Activities
Vaccination campaign for street dogs happening at Biratnagar on Tuesday.,Vaccination
Cat available 4 adoption after rescue n treatment,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #9091,Vaccination
OMG guys this pup needs HELP rn!! vaccinated last week tho 😭,Help
Local butcher illegally killed a street dog. Action needed! #5942,Illegal Activities
Illegal dog fighting ring uncovered in Lalitpur. Investigation ongoing.,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #7579,Vaccination
Animal abuse recorded on street cam 🚨,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #3985,Adoption
Puppy crying in pain at Dharan. Please help!,Help
"Stray pup got first vaccinashun, next due nxt month",Vaccination
Protect our strays: vaccination camp at Bhaktapur this July 15th.,Vaccination
Local butcher illegally killed a street dog. Action needed in Butwal!,Illegal Activities
Friendly German Shepherd named Luna available for adoption in Itahari.,Adoption
Join us for a community pet vaccination event in Bhaktapur.,Vaccination
Puppy crying in pain at Bhaktapur. Please help!,Help
Friendly Persian named Coco available for adoption in Dharan.,Adoption
Friendly Pug named Max available for adoption in Bhaktapur.,Adoption
Local butcher illegally killed a street dog. Action needed in Pokhara!,Illegal Activities
Doggo is injurd n crying pls adop if u can 🐶💔,Help
Looking to adopt a 2-month-old vaccinated kitten #4221,Adoption
Report: Suspected poisoning of stray animals in Butwal. Authorities notified.,Illegal Activities
Urgent help needed for injured stray puppy #4660,Help
Urgent help needed for injured stray puppy #4064,Help
Local butcher illegally killed a street dog. Action needed! #6638,Illegal Activities
Kitten trafficking ring busted in city 🐱❌,Illegal Activities
Puppy crying in pain at Bhaktapur. Please help!,Help
Adopt Charlie and give them the loving family they deserve.,Adoption
Free rabies vaccination drive for stray animals at Bhaktapur on August 1st.,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #9359,Vaccination
Doggo needz vaccinashun ASAP 💉😭,Vaccination
Doggo needz vaccinashun ASAP 💉😭,Vaccination
Adopt Simba and give them the loving family they deserve.,Adoption
Illegal dog fighting ring uncovered in Dharan. Investigation ongoing.,Illegal Activities
Friendly Persian named Charlie available for adoption in Kathmandu.,Adoption
Local butcher illegally killed a street dog. Action needed! #6042,Illegal Activities
Vaccination campaign for street dogs happening at Biratnagar on this weekend.,Vaccination
Doggo needz vaccinashun ASAP 💉😭,Vaccination
Urgent help needed for injured stray puppy #1768,Help
Free rabies vaccination for street dogs in Pokhara this weekend #8547,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #5811,Vaccination
"Stray pup got first vaccinashun, next due nxt month",Vaccination
Looking to adopt a 2-month-old vaccinated kitten #493,Adoption
"Meet Coco, a lovable Labrador looking for a forever home in Butwal.",Adoption
Illegal dog fighting ring uncovered in Butwal. Investigation ongoing.,Illegal Activities
"Adopshun needed 4 lil pup, very friendly!",Adoption
Free rabies vaccination drive for stray animals at Butwal on July 15th.,Vaccination
Abandoned kitten found in Lalitpur. Looking for a foster home.,Help
Looking to adopt a 2-month-old vaccinated kitten #9757,Adoption
Local butcher illegally killed a street dog. Action needed! #7546,Illegal Activities
Cruel treatment of animals reported near Kathmandu. Raise your voice!,Illegal Activities
Local butcher illegally killed a street dog. Action needed in Biratnagar!,Illegal Activities
Urgent help needed for injured stray puppy #8264,Help
Wounded animal lying on the road at Lalitpur. Volunteers needed urgently!,Help
Vaccination campaign for street dogs happening at Itahari on August 1st.,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #5555,Vaccination
Cat available 4 adoption after rescue n treatment,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #4771,Vaccination
Looking to adopt a cute Stray? Meet Charlie at Kathmandu.,Adoption
Local butcher illegally killed a street dog. Action needed in Lalitpur!,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #9662,Illegal Activities
Adopt Charlie and give them the loving family they deserve.,Adoption
Kitten trafficking ring busted in city 🐱❌,Illegal Activities
Report: Suspected poisoning of stray animals in Bhaktapur. Authorities notified.,Illegal Activities
Protect our strays: vaccination camp at Kathmandu this August 1st.,Vaccination
Doggo needz vaccinashun ASAP 💉😭,Vaccination
Wounded animal lying on the road at Lalitpur. Volunteers needed urgently!,Help
Urgent help needed for injured stray puppy #7992,Help
Free rabies vaccination for street dogs in Pokhara this weekend #4803,Vaccination
Sweet doggo ready for adop after vaccinashun 💉🐶,Adoption
Dog fighting spotted 😢 report ASAP!!,Illegal Activities
Wounded animal lying on the road at Bhaktapur. Volunteers needed urgently!,Help
Report: Suspected poisoning of stray animals in Butwal. Authorities notified.,Illegal Activities
Looking to adopt a cute Pug? Meet Max at Dharan.,Adoption
Friendly Labrador named Luna available for adoption in Kathmandu.,Adoption
Looking to adopt a 2-month-old vaccinated kitten #9469,Adoption
"Meet Bella, a lovable Persian looking for a forever home in Bhaktapur.",Adoption
Poachers selling stray dogs in market,Illegal Activities
Looking to adopt a cute Persian? Meet Coco at Lalitpur.,Adoption
Protect our strays: vaccination camp at Lalitpur this Monday.,Vaccination
Animal abuse recorded on street cam 🚨,Illegal Activities
Urgent help needed for injured stray puppy #556,Help
Kitten trafficking ring busted in city 🐱❌,Illegal Activities
Puppy crying in pain at Butwal. Please help!,Help
Abandoned kitten found in Butwal. Looking for a foster home.,Help
Injured stray dog spotted near Itahari. Immediate assistance needed!,Help
Rescued dog needs surgery nd foster home ASAP!,Help
"Meet Simba, a lovable Pug looking for a forever home in Bhaktapur.",Adoption
Abandoned kitten found in Pokhara. Looking for a foster home.,Help
Urgent help needed for injured stray puppy #2064,Help
Local butcher illegally killed a street dog. Action needed! #7422,Illegal Activities
Looking to adopt a 2-month-old vaccinated kitten #9433,Adoption
"Meet Charlie, a lovable Persian looking for a forever home in Bhaktapur.",Adoption
Local butcher illegally killed a street dog. Action needed! #2010,Illegal Activities
Cat already vaccinated but needs checkup again,Vaccination
"Meet Max, a lovable Beagle looking for a forever home in Itahari.",Adoption
Abandoned kitten found in Dharan. Looking for a foster home.,Help
Animal abuse recorded on street cam 🚨,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #8066,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #3014,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #7843,Vaccination
Injured stray dog spotted near Pokhara. Immediate assistance needed!,Help
Urgent help needed for injured stray puppy #9484,Help
Poachers selling stray dogs in market,Illegal Activities
Animal abuse recorded on street cam 🚨,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #2351,Vaccination
Puppy crying in pain at Kathmandu. Please help!,Help
Local butcher illegally killed a street dog. Action needed! #7710,Illegal Activities
Vaccination campaign for street dogs happening at Bhaktapur on this weekend.,Vaccination
Abandoned kitten found in Itahari. Looking for a foster home.,Help
Looking to adopt a cute Beagle? Meet Luna at Pokhara.,Adoption
Local butcher illegally killed a street dog. Action needed! #8494,Illegal Activities
Cat already vaccinated but needs checkup again,Vaccination
Cruel treatment of animals reported near Pokhara. Raise your voice!,Illegal Activities
Dog fighting spotted 😢 report ASAP!!,Illegal Activities
Urgent help needed for injured stray puppy #6756,Help
Local butcher illegally killed a street dog. Action needed in Bhaktapur!,Illegal Activities
Join us for a community pet vaccination event in Bhaktapur.,Vaccination
Kitten trafficking ring busted in city 🐱❌,Illegal Activities
Puppy crying in pain at Dharan. Please help!,Help
Injured stray dog spotted near Itahari. Immediate assistance needed!,Help
Illegal puppy adoption scam running in Pokhara 😡,Illegal Activities
Puppy crying in pain at Biratnagar. Please help!,Help
Urgent help needed for injured stray puppy #4672,Help
Local butcher illegally killed a street dog. Action needed! #1702,Illegal Activities
Local butcher illegally killed a street dog. Action needed in Butwal!,Illegal Activities
Free rabiez vaccine camp 2day near Itahari 🐾,Vaccination
Urgent help needed for injured stray puppy #1208,Help
Report: Suspected poisoning of stray animals in Dharan. Authorities notified.,Illegal Activities
Free rabies vaccination for street dogs in Pokhara this weekend #2407,Vaccination
Join us for a community pet vaccination event in Pokhara.,Vaccination
Local butcher illegally killed a street dog. Action needed! #5278,Illegal Activities
Looking to adopt a cute Beagle? Meet Bella at Itahari.,Adoption
Free rabies vaccination for street dogs in Pokhara this weekend #6787,Vaccination
Poachers selling stray dogs in market,Illegal Activities
Free rabies vaccination drive for stray animals at Butwal on July 15th.,Vaccination
Free rabies vaccination for street dogs in Pokhara this weekend #4187,Vaccination
Urgent help needed for injured stray puppy #3504,Help
"Meet Luna, a lovable Pug looking for a forever home in Butwal.",Adoption
Local butcher illegally killed a street dog. Action needed! #7742,Illegal Activities
Urgent help needed for injured stray puppy #520,Help
Sweet doggo ready for adop after vaccinashun 💉🐶,Adoption
Vaccinashun drive 4 stray animals ongoing rn,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #4493,Adoption
Join us for a community pet vaccination event in Kathmandu.,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #7489,Adoption
Local butcher illegally killed a street dog. Action needed! #3278,Illegal Activities
Local butcher illegally killed a street dog. Action needed! #6302,Illegal Activities
Vaccination campaign for street dogs happening at Bhaktapur on Monday.,Vaccination
Looking to adopt a 2-month-old vaccinated kitten #505,Adoption
"Meet Coco, a lovable German Shepherd looking for a forever home in Butwal.",Adoption
"Stray cat hurt badly, ppl plz hlp 🙏",Help
Injured stray dog spotted near Pokhara. Immediate assistance needed!,Help
Adopt Simba and give them the loving family they deserve.,Adoption
"Kitten rescued, vaccinated alrdy, looking 4 a home 🐱🏠",Adoption
Looking to adopt a 2-month-old vaccinated kitten #597,Adoption
OMG guys this pup needs HELP rn!! vaccinated last week tho 😭,Help
Free rabiez vaccine camp 2day near Itahari 🐾,Vaccination
Puppy crying in pain at Butwal. Please help!,Help
Report: Suspected poisoning of stray animals in Butwal. Authorities notified.,Illegal Activities
Injured stray dog spotted near Bhaktapur. Immediate assistance needed!,Help
Join us for a community pet vaccination event in Itahari.,Vaccination
Cat already vaccinated but needs checkup again,Vaccination
Urgent help needed for injured stray puppy #5948,Help
Vaccination campaign for street dogs happening at Itahari on July 15th.,Vaccination
Looking to adopt a cute Persian? Meet Charlie at Kathmandu.,Adoption
Abandoned kitten found in Butwal. Looking for a foster home.,Help
Looking to adopt a 2-month-old vaccinated kitten #8185,Adoption
Adopt Luna and give them the loving family they deserve.,Adoption
Looking to adopt a 2-month-old vaccinated kitten #3445,Adoption
Join us for a community pet vaccination event in Bhaktapur.,Vaccination
Urgent help needed for injured stray puppy #8568,Help
Urgent help needed for injured stray puppy #8144,Help
Adopt Luna and give them the loving family they deserve.,Adoption
Abandoned kitten found in Pokhara. Looking for a foster home.,Help
Urgent help needed for injured stray puppy #3056,Help
Poachers selling stray dogs in market,Illegal Activities
Free rabiez vaccine camp 2day near Itahari 🐾,Vaccination
Free rabies vaccination drive for stray animals at Kathmandu on July 15th.,Vaccination
Urgent help needed for injured stray puppy #1868,Help
Free rabies vaccination for street dogs in Pokhara this weekend #6987,Vaccination
Local butcher illegally killed a street dog. Action needed! #614,Illegal Activities
"Stray cat hurt badly, ppl plz hlp 🙏",Help
Join us for a community pet vaccination event in Dharan.,Vaccination
Illegal dog fighting ring uncovered in Pokhara. Investigation ongoing.,Illegal Activities
Looking to adopt a cute Pug? Meet Charlie at Butwal.,Adoption
Looking to adopt a 2-month-old vaccinated kitten #6277,Adoption
Poachers selling stray dogs in market,Illegal Activities
